"address","infoSnippet","name","phone","rating","reviewSnippet","url","website"
"Lake Arrowhead, CA 92352","I have lived and worked in the Lake Arrowhead community for almost 40 years. My practice specializes in two things ... personal attention and quality…","Sahagian Phillip","(909) 791-1552",,,"https://www.yellowpages.com/lake-arrowhead-ca/mip/sahagian-phillip-459562872?lid=1002168596434",
"9124 Elk Grove Blvd, Elk Grove, CA 95624","The Law Offices of Michael L. Faber has proudly served Elk Grove, CA, for over three decades with personal injury, wills, trusts, and probate cases. Whether you…","The Law Office Of Michael L Faber","(916) 378-4918",,,"https://www.yellowpages.com/elk-grove-ca/mip/the-law-office-of-michael-l-faber-460689331?lid=1001854243026","http://www.faberlawca.com"
"9381 E Stockton Blvd,, Elk Grove, CA 95624","Call Today For A Free Consultation. Want to Preserve Your Assets? Need to Know How Best to Protect Your Family?Estate Planning, Wills & Trusts. Probate & Trust…","Law Offices Of Stephen T Hodge","(916) 822-7412",,,"https://www.yellowpages.com/elk-grove-ca/mip/law-offices-of-stephen-t-hodge-461514133?lid=367337996","http://www.stephenhodgelaw.com"
"7211 Painter Ave, Whittier, CA 90602",,"Topalian & Associates","(562) 479-0071","5","Good Service they make my life so easy.""","https://www.yellowpages.com/whittier-ca/mip/topalian-associates-461697025?lid=1002166464675","http://www.topalianlaw.com"
"2400 Washington Ave Ste 210, Redding, CA 96001","Full-Service Law Firm Specializing in Bankruptcy, Family Law, Wills and Trusts with Paralegal service available. We have serving our community since 1994 and…","Bonnie Baker Law Office","(530) 241-5421",,,"https://www.yellowpages.com/redding-ca/mip/bonnie-baker-law-office-461700132?lid=1002166357322","http://www.lawofficesofbonniebaker.com"
"20300 W Valley Blvd, Tehachapi, CA 93561","Specializing in Criminal Law","Klein Alan E Attorney At Law","(661) 750-4186",,,"https://www.yellowpages.com/tehachapi-ca/mip/klein-alan-e-attorney-at-law-461714503?lid=1000803263478",
"331 Wall St, Chico, CA 95928","Law Offices of Joseph M. Earley III Serving Chico and All of Butte County and the North State is compassionate, experienced and effective. Specializing in…","Law Offices of Joseph M. Earley","(530) 876-1111",,,"https://www.yellowpages.com/chico-ca/mip/law-offices-of-joseph-m-earley-461714617?lid=1001433789422","http://www.josephEarley.com"
"597 S Main St, Ste B, Ukiah, CA 95482",,"Ranft Mark L","(707) 462-1169","5","TWO PREVIOUS CONTACTS: BOTH VICTORIOUS COSTS AFFORDABLETRUE TRIAL LAWYERCOMMUNICATION SKILLS ARE GREAT; HE TRANSLATES LEGALESE""","https://www.yellowpages.com/ukiah-ca/mip/ranft-mark-l-461722534?lid=1001329772736","http://ranftlaw.com"
"111 W Saint John St, San Jose, CA 95113","* Aggressive Criminal Defense - Personal Injury * DUI & DWI * Domestic Violence * Traffic Law Attorney * Felonies & Misdemeanors * Free Initial Consultation","Speare  Allen C Law Offices Of","(408) 409-1223",,,"https://www.yellowpages.com/san-jose-ca/mip/speare-allen-c-law-offices-of-461724278?lid=1002072455968","http://www.allenspeare.com"
"1448 Fullerton Dr, Fairfield, CA 94533","My business was created to combine self-help with the best legal resources available.You can rely on the quality and compassionate assistance you will receive.…","Maureen  Parke LDA","(707) 422-0514",,,"https://www.yellowpages.com/fairfield-ca/mip/maureen-parke-lda-461727475?lid=1002032044158","http://mswebb.com"
"315 Montgomery St Ste 800, San Francisco, CA 94104",,"Bobadilla Jessica Smith Law Office Of","(415) 398-4444",,,"https://www.yellowpages.com/san-francisco-ca/mip/bobadilla-jessica-smith-law-office-of-462006168?lid=1002073837562","https://www.attorneyjessica.com"
"401 Hartnell Place, Sacramento, CA 95825","It is our goal to help you receive the Railroad Retirement Disability, Social Security Disability, Medicare and Supplement Security Income benefits to which you…","Social Security Appeals Disability Advocates","(916) 643-1930",,,"https://www.yellowpages.com/sacramento-ca/mip/social-security-appeals-disability-advocates-463119665?lid=1002042045326","https://disabilityadvocates.net"
"13658 Hawthorne Blvd, Hawthorne, CA 90250",,"Law Office Of Steven A Seiden","(310) 644-5003","5","Mr. Seiden, Chris Williams and Beatrice, I am beyond thankful to you for working on my case. Although many popular attorneys refused to work on  my case (since it was hard for…","https://www.yellowpages.com/hawthorne-ca/mip/law-office-of-steven-a-seiden-464568313?lid=1000088468869","http://www.sascriminaldefense.com"
"2170 S El Camino Real, Ste 201, Oceanside, CA 92054",,"Kohn Law Office","(760) 721-8182","5","I really appreciated everything Mr. Kohn did for me. He kept me well informed and at ease which is very appreciated when your in pain and the settlement was more than I…","https://www.yellowpages.com/oceanside-ca/mip/kohn-law-office-465522223?lid=1002166331159","http://www.kohnlawoffice.com"
"2444 Main St, Fresno, CA 93721",,"Borton Petrini LLP","(559) 268-0117",,,"https://www.yellowpages.com/fresno-ca/mip/borton-petrini-llp-471205429?lid=1001868972417","http://www.bortonpetrini.com"
"10300 4th St, Rancho Cucamonga, CA 91730","The Law Firm Blomberg, Benson & Garrett, Inc. is located at 10300 Fourth Street, Suite 150 in Rancho Cucamonga, CA. We have been providing Inland Empire…","Blomberg Benson & Garrett","(909) 285-2379",,,"https://www.yellowpages.com/rancho-cucamonga-ca/mip/blomberg-benson-garrett-472237613?lid=1002057223377","https://www.lawbbg.com"
"1871 The Alameda, San Jose, CA 95126","The Law Office of Matthew J. Rudy is a full service family law firm, counseling and advising clients engaged in matrimonial disputes. The firm represents clients…","The Law  Office  Of Matthew  J Rudy","(408) 329-1451",,,"https://www.yellowpages.com/san-jose-ca/mip/the-law-office-of-matthew-j-rudy-472763933?lid=1002106061128","http://www.facebook.com/rudyfamilylaw"
"5303 Folsom Blvd, Sacramento, CA 95819","We offer direct advice, aggressive representation and are committed to reaching an effective yet efficient outcome for the situation you are facing. We focus on…","The Law Offices Of Victoria S Linder","(916) 822-6496",,,"https://www.yellowpages.com/sacramento-ca/mip/the-law-offices-of-victoria-s-linder-473069812?lid=1001924432788","https://www.sacramentoattorneys.net"
,,"Law Office of C. Ray Carlson","(661) 299-7259",,,"https://www.yellowpages.com/nationwide/mip/law-office-of-c-ray-carlson-474104159?lid=356517554","http://www.craycarlson.com"
,"The Social Security Disability program is administered through Social Security Administration as one of the two largest of several Federal programs that provides…","Social Security Disability Advisors","(801) 285-6856",,,"https://www.yellowpages.com/salt-lake-city-ut/mip/social-security-disability-advisors-475537434?lid=1002106199603","http://disabilityadvisors.com"
,,"Charles  Holzhauer Law Office","(530) 332-9440","5","Mr. Holzhauer won our case for us when his office was in Ukiah and he was very professional, and communicative. I definitely recommend him for real estate matters!""","https://www.yellowpages.com/nationwide/mip/charles-holzhauer-law-office-475600696?lid=1001366771470","http://www.realestateattorneychico.net"
"2424 Vista Way #200, Oceanside, CA 92054",,"Fischer & Van Thiel LLP Law Offices Of","(760) 722-7646","5","What a great group of professionals!! Mr. Fischer was really helpful and made my divorce easy and painless. Thank you all so much during my times of hardship!!""","https://www.yellowpages.com/oceanside-ca/mip/fischer-van-thiel-llp-law-offices-of-478384166?lid=1001558830193","http://www.divorcelawyersoceanside.com"
"660 Ohio St, Gridley, CA 95948","Estate Planning; Estate Administration; Elder Law; Agricultural Law; Business Organizations; Real Estate Law; and Civil Litigation. The law firm of Harris,…","SacValleyLaw  LLC","(530) 846-5691",,,"https://www.yellowpages.com/gridley-ca/mip/sacvalleylaw-llc-481280352?lid=1002103328869","http://sacvalleylaw.com"
"Atascadero, CA 93423","Call today to schedule a free 30 minute consultation. I specialize in Criminal cases, Family Law cases, & Wills & Trusts. My Rates are far below average and are…","Law Office of Stephen Sibbach","(805) 464-6921",,,"https://www.yellowpages.com/atascadero-ca/mip/law-office-of-stephen-sibbach-481407093?lid=1000500949226","http://www.sibbachlaw.com"
"9431 Haven Ave Suite 108, Rancho Cucamonga, CA 91730","Since 1995, Priscilla Solario Law has been providing thorough estate planning development, including legal expertise with trusts and wills, for our family,…","Law Offices Of Pricilla Solario","(909) 284-8832",,,"https://www.yellowpages.com/rancho-cucamonga-ca/mip/law-offices-of-pricilla-solario-481574058?lid=1002053149414","http://www.solariolaw.com"
"101 Parkshore Dr, Folsom, CA 95630","Call Us Now At (800) 916-3500 There Is NO CHARGE For The Call, And All Calls Are Confidential. We represent individuals and groups of people who have been…","Bernstein  Scot D Law Offices APC","(916) 974-9005",,,"https://www.yellowpages.com/folsom-ca/mip/bernstein-scot-d-law-offices-apc-481980376?lid=1002053131353","http://sbernsteinlaw.com"
"3555 Fourth Ave, San Diego, CA 92103",,"Sevens Legal, APC","(619) 430-2355","5","High standards and good client services.  Coach Scott""","https://www.yellowpages.com/san-diego-ca/mip/sevens-legal-apc-483859233?lid=1001868971113",
"765 Cedar St Ste 201, Santa Cruz, CA 95060","Not guilty verdicts in dozens of very serious cases including homicide, sex crimes, assaults, theft, fraud, DUI, domestic violence and drug trafficking. Attorney…","Garver  Mark","(831) 222-6224",,,"https://www.yellowpages.com/santa-cruz-ca/mip/garver-mark-495849820?lid=1000402488388","http://www.santacruzcriminaldefense.net"
"1901 1st Ave, San Diego, CA 92101","Attorney has over 30 years experience representing clients in divorce and legal separation cases and related family law issues, such as child custody,…","A All Military Personnel And Dependents Divorce And Family Law","(619) 233-3341",,,"https://www.yellowpages.com/san-diego-ca/mip/a-all-military-personnel-and-dependents-divorce-and-family-law-496519687?lid=1002106207739",
"5301 Office Park, Bakersfield, CA 93309","Douglas has been a practicing attorney since 1993 specializing in Trust, Wills, Probate, and Business Law. In addition to his law practice he has been a licensed…","Delgado  R Douglas Esq-CPA","(661) 325-8677",,,"https://www.yellowpages.com/bakersfield-ca/mip/delgado-r-douglas-esq-cpa-4973650?lid=1002108511490",
"600 El Camino Real Suite 102, San Bruno, CA 94066","|Year Established: 1994.","Peter Manetas Attorney at Law","(650) 741-1723",,,"https://www.yellowpages.com/san-bruno-ca/mip/peter-manetas-attorney-at-law-503068763?lid=1002166441843","https://www.manetaslaw.com"
"135 Court St, Auburn, CA 95603","Collins And Collins is a privately held company in Auburn, CA and is a Single Location business.Categorized under Legal Services. Our records show it was…","Collins  & Collins","(530) 492-0823",,,"https://www.yellowpages.com/auburn-ca/mip/collins-collins-505149019?lid=1002166369709","https://www.collins4law.com"
"3463 State St #507, Santa Barbara, CA 93105","Independent and resourceful, I will provide you with better solutions leaving you with more money in your pocket and a greater appreciation of the legal process.…","Gregory R Lowe Attorney At Law","(805) 319-4834",,,"https://www.yellowpages.com/santa-barbara-ca/mip/gregory-r-lowe-attorney-at-law-505222721?lid=1002037182195","http://www.gregorylowelaw.com"
"195 Agnes St, Auburn, CA 95603","Let us Coordinate All of your Disabilities to maximize benefits Industrial, Non-Industrial and Pre-Existing Conditions","Thomas Brown Attorney at Law","(530) 830-1529",,,"https://www.yellowpages.com/auburn-ca/mip/thomas-brown-attorney-at-law-505779510?lid=1000935051525","http://www.thomasbrownattorney.com"
"703 2nd Street Suite 404, Santa Rosa, CA 95404","If you have been arrested for a crime, call an attorney immediately. Our Santa Rosa criminal defense attorneys at the Law Offices of Evan E. Zelig, P.C. have…","Law Offices of Evan E. Zelig, P.C.","(707) 710-8066",,,"https://www.yellowpages.com/santa-rosa-ca/mip/law-offices-of-evan-e-zelig-p-c-506778100?lid=1002166463071","http://www.eezlaw.com"
"333 City Blvd W, Ste 1700, Orange, CA 92868","Orange County Process Serving was Establish in 1987 and is owned and operated by Michael Danley, a Registered and Bonded Process Server with over 30 years of…","Orange County Process Serving","(714) 971-2217",,,"https://www.yellowpages.com/orange-ca/mip/orange-county-process-serving-513468825?lid=1002042043406","http://ocpsi.com"
"1230 Columbia St, San Diego, CA 92101",,"Law Offices Of Vikas Bajaj","(619) 880-3986","4","Very good attorney, he was very professional and knowledgeable. He spent time explaining the pros and cons to me.""","https://www.yellowpages.com/san-diego-ca/mip/law-offices-of-vikas-bajaj-520223797?lid=1001947425785","https://www.bajajdefense.com/"
"325 cayuga St, Salinas, CA 93901",,"Thelander Law","(831) 287-5563","5","Mr Thealander is the most caring Criminal Law Lawyer.  He is sincerely interested in helping his clients and not in your wallet.  I highly recommend him. He has represented my…","https://www.yellowpages.com/salinas-ca/mip/thelander-law-520687427?lid=1001185611149","https://salinascalawyer.com"
"965 North 2nd Ave, Upland, CA 91786","The SKVARNA LAW FIRM strategizes with clients regarding Estate Planning, Advanced Estate Planning, Elder Care Planning, Probate & Estate Administration…","Skvarna Law Firm","(626) 784-5267",,,"https://www.yellowpages.com/upland-ca/mip/skvarna-law-firm-521069243?lid=1002125517039","http://skvarnalaw.com"
"2600 Kitty Hawk Rd Ste 108, Livermore, CA 94551","Law Office of Jennifer Thaete, PC We help make the complex simple. Law Office of Jennifer Thaete, PC is a Livermore, California boutique law firm which focuses…","Law Office of Jennifer Thaete PC","(925) 344-3975",,,"https://www.yellowpages.com/livermore-ca/mip/law-office-of-jennifer-thaete-pc-525370280?lid=1002083954535","https://www.thaetelaw.com"
